Name,Tags,Read,Authors,Ranking,Created,URL,Remarques,Durée,Date
"La solution du GPT-4 à l'énigme de l'œuf équilibré aurait convaincu Microsoft que l'AGI, intelligence artificielle générale, est plus proche, selon Microsoft Research",,,,,"May 22, 2023 12:40 PM",https://intelligence-artificielle.developpez.com/actu/344736/La-solution-du-GPT-4-a-l-enigme-de-l-oeuf-equilibre-aurait-convaincu-Microsoft-que-l-AGI-intelligence-artificielle-generale-est-plus-proche-selon-Microsoft-Research/,,64,
DLAI - Learning Platform Prototype,"DIGITAL, Innovation",Yes,,5-Stars,"May 22, 2023 10:15 AM",https://learn.deeplearning.ai/chatgpt-prompt-eng/lesson/1/introduction,formation prompt engineering,65,
How to build a generative AI solution?,,,,,"May 22, 2023 9:59 AM","https://www.leewayhertz.com/how-to-build-a-generative-ai-solution/#:~:text=Several%20key%20steps%20must%20be,in%20a%20real%2Dworld%20context.",,65,
Generative AI & Creativity - Innovation,"DIGITAL, Innovation, Podcast",Yes,HBR,5-Stars,"May 19, 2023 10:07 AM",https://hbr.org/podcast/2023/05/how-generative-ai-changes-creativity,Synthèse dispo,68,"May 19, 2023"
Generative AI & Productivity,"DIGITAL, Innovation, Podcast",Yes,HBR,5-Stars,"May 19, 2023 9:49 AM",https://hbr.org/podcast/2023/05/how-generative-ai-changes-productivity,Post LinkedIn & Synthese dispo,68,"May 17, 2023"
Can artificial intelligence deliver real learning at business school? | Financial Times,"DIGITAL, Innovation",Yes,,5-Stars,"May 16, 2023 2:35 PM",https://www.ft.com/content/34de1ae6-fdde-43e3-a39a-50e30b8b97a1?shareType=nongift,,70,
Generative AI Will Change Your Business. Here’s How to Adapt.,,,,,"May 15, 2023 10:15 AM",https://hbr.org/2023/04/generative-ai-will-change-your-business-heres-how-to-adapt,,72,
Yuval Noah Harari (Sapiens) versus Yann Le Cun (Meta) on artificial intelligence,DIGITAL,Yes,Le Cun,4-Stars,"May 15, 2023 8:34 AM",https://amp-lepoint-fr.cdn.ampproject.org/c/s/amp.lepoint.fr/2519782,,72,
Startups vs Corporate - The Anchors - The Secrets of Psychology Simply Explained,,,,,"April 25, 2023 2:10 PM",https://the-anchors.co/publications/Cultural-Differences-between-Tech-Startups-and-Corporates.html,,91,
Dossiers Archive - Polytechnique Insights,,,,,"April 24, 2023 2:02 PM",https://www.polytechnique-insights.com/dossiers/,,92,
"Embracing Multibrand Design Systems in the Automotive Industry : A Stellantis Journey | by Valentin Cazin | Apr, 2023 | Medium",,,,,"April 20, 2023 8:57 AM",https://medium.com/@nozprod/embracing-multibrand-design-systems-a-stellantis-journey-8ab88417f4e6,,97,
State of the Cloud 2023 - Bessemer Venture Partners,,,,,"April 17, 2023 5:56 PM",https://www.bvp.com/atlas/state-of-the-cloud-2023,,99,
"Scenario Planning and Its Use in Strategy, in a Turbulent World — Futures Platform",Innovation,Yes,,3-Stars,"April 17, 2023 3:29 PM",https://www.futuresplatform.com/blog/scenario-planning-and-its-use-strategy-turbulent-world,,99,
Sodium-ion Battery,MOBILITY,Yes,,5-Stars,"April 17, 2023 9:06 AM",,,100,
“Now the Car Speaks Directly to the Insurance Company” – Porsche Consulting The Magazine,,,,,"April 14, 2023 11:00 AM",https://magazine.porsche-consulting.com/en/now-the-car-speaks-directly-to-the-insurance-company/,,103,
"""L’IA amplifie l’intelligence humaine comme la machine amplifie la force"", juge l’un de ses pères, Yann le Cun",,,,,"April 12, 2023 5:58 PM",https://www.radiofrance.fr/franceinter/yann-le-cun-la-technologie-cree-de-nouveaux-metiers-en-supprime-d-autres-reconnait-l-un-des-peres-des-ia-5596389,,104,
Achat Innovation,Innovation,Yes,,5-Stars,"April 12, 2023 3:25 PM",,,104,
Channel - Directeur Innovation,Innovation,Yes,,,"April 12, 2023 2:59 PM",,,104,
BCG X Principal Venture Architect,"Innovation, Intrapreneurship, Venture Builder",Yes,,,"April 12, 2023 2:58 PM",,,104,
10 Incontournables pour réussir Design Thinking,Innovation,Yes,ChatGPT,,"April 6, 2023 4:29 PM",,,110,
How to scale an intrapreneurship program at DHL Startup Lab - GroundControl,,,,,"April 5, 2023 6:02 PM",https://togroundcontrol.com/blog/how-to-scale-an-intrapreneurship-program-globally-with-dhl-start-up-lab/,,111,
"Trottinettes électriques, pour ou contre le climat ?",,,,,"March 31, 2023 5:51 PM",https://www.carbone4.com/analyse-trotinettes-electriques,,116,
Vehicle-as-a-Service | Deloitte Global,,,,,"March 30, 2023 10:03 AM",https://www.deloitte.com/global/en/Industries/automotive/perspectives/vehicle-as-a-service.html,,118,
"A La Rencontre Du MIL, Le Lab Innovation De Michelin - Forbes France","Innovation, Intrapreneurship",Yes,Michelin,5-Stars,"March 23, 2023 3:13 PM",,,124,
Management et conduite du changement : les 8 clés de succès - Harvard Business Review France,MANAGEMENT,Yes,,4-Stars,"March 16, 2023 7:11 AM",https://www.hbrfrance.fr/management/management-et-conduite-du-changement-les-8-cles-de-succes-60006,,132,
CodeCarbon.io,DIGITAL,Yes,,,"March 14, 2023 5:39 PM",https://codecarbon.io/#about,,133,
Create ChatGPT Enquiry,DIGITAL,Yes,,2-Stars,"March 14, 2023 5:25 PM",,,133,
"Comment fonctionne ChatGPT ? ",DIGITAL,No,,,"March 14, 2023 4:23 PM",https://www.zdnet.fr/actualites/comment-fonctionne-chatgpt-39955306.htm,,133,
"Google, victime du dilemme de l’innovateur avec ChatGPT - Harvard Business Review France",Innovation,Yes,Philippe Silberzahn,5-Stars,"March 12, 2023 3:13 PM",https://www.hbrfrance.fr/innovation/google-victime-du-dilemme-de-linnovateur-avec-chatgpt-60005,,135,
The Mission-Driven Innovator’s Guide to Market Research,Innovation,Yes,,3-Stars,"March 8, 2023 3:32 PM",https://uncommonleadership.substack.com/p/the-mission-driven-innovators-guide?sd=pf,,139,
Innovation Project Scorecard: Evidence Trumps Opinion,"Innovation, Intrapreneurship",Yes,Osterwalder,5-Stars,"March 5, 2023 10:08 AM",https://www.strategyzer.com/blog/innovation-project-scorecard-evidence-trumps-opinion,,143,
Comment (ne pas) lutter contre la réunionnite,MANAGEMENT,Yes,Philippe Silberzahn,4-Stars,"February 27, 2023 9:07 AM",https://philippesilberzahn.com/2022/10/03/comment-ne-pas-lutter-contre-la-reunionnite/,,149,
"Steve Blank An MVP is not a Cheaper Product, It’s about Smart Learning",,,,,"February 24, 2023 4:38 PM",https://steveblank.com/2013/07/22/an-mvp-is-not-a-cheaper-product-its-about-smart-learning/,,151,
"Émile Magazine - Nicolas Lerner : ""Les menaces à notre sécurité nationale se sont accrues ces dernières années""",,,,,"February 23, 2023 3:01 PM",https://www.emilemagazine.fr/article/2023/2/15/nicolas-lerner-les-menaces-a-notre-securite-nationale-se-sont-accrues-ces-dernieres-annees,,152,
"It’s not about the Fuel, it’s about the Friction, with Professor David Schonthal, co-author of The Human Element: Overcoming the Resistance That Awaits New Ideas | Unpacking the Digital Shelf","Innovation, MANAGEMENT",No,Schonthal,,"February 22, 2023 6:22 PM",https://salsify.simplecast.com/episodes/its-not-about-the-fuel-its-about-the-friction-with-professor-david-schonthal-co-author-of-the-human-element-overcoming-the-resistance-that-awaits-new-ideas,,153,
"If Your Innovation Effort Isn’t Working, Look at Who’s on the Team",,,,,"February 19, 2023 9:50 AM",https://hbr.org/2018/11/if-your-innovation-effort-isnt-working-look-at-whos-on-the-team?utm_medium=social&utm_campaign=hbr&utm_source=twitter&tpcc=orgsocial_edit,,157,
Steve Blank A Simple Map for Innovation at Scale,,,,,"February 14, 2023 5:40 PM",https://steveblank.com/2022/10/25/a-simple-map-for-innovation-at-scale/,,161,
How Chinese Strategy Ate Western Strategy For Breakfast,,,,,"February 13, 2023 5:33 PM",https://www.forbes.com/sites/hecparis/2023/02/02/how-chinese-strategy-ate-western-strategy-for-breakfast/amp/,,162,
Visualized: The EV Mineral Shortage,,,,,"February 9, 2023 3:43 PM",https://www.visualcapitalist.com/sp/how-mineral-supply-will-change-ev-forecasts/,,166,
What CEOs & CFOs need to understand about innovation - YouTube,Video,Yes,Osterwalder,5-Stars,"February 3, 2023 3:44 PM",https://www.youtube.com/watch?v=7hiVkHVz3jE,Experimentation / investissement test vs business plan…sortir sur le terrain…,172,
How To Get Transcripts For Any Podcast,,,,,"January 23, 2023 9:41 AM",https://markallen.io/podcast-transcripts/,,184,
"Edge Computing : tout savoir sur l'informatique en périphérie, une révolution pour les années 2020",,,,,"January 22, 2023 10:44 AM",https://www.lebigdata.fr/edge-computing-definition,,185,
Boston Dynamics’ Atlas can now toss tool bags around a (fake) construction site - The Verge,,,,,"January 21, 2023 6:57 PM",https://www.theverge.com/23560592/boston-dynamics-atlas-robot-bipedal-work-video-construction-site,,185,
"Architecture Organisationnelle: Intelligence Artificielle, Simulation and Systèmes Hybrides",,,,,"January 21, 2023 10:25 AM",http://organisationarchitecture.blogspot.com/2022/08/intelligence-artificielle-simulation.html,,186,
Technovision 2022 - Automotive,"Innovation, MOBILITY",No,CapGemini,,"January 20, 2023 1:22 PM",https://www.capgemini.com/insights/research-library/technovision-2022-dive-into-automotive-innovation/,,186,
ChatGPT is not all you need. A State of the Art Review of large Generative AI models,"DIGITAL, Innovation",No,,,"January 19, 2023 2:53 PM",https://arxiv.org/pdf/2301.04655.pdf?,,187,
Théorie Effectuation - Entrepreunariat,"Innovation, Intrapreneurship, MANAGEMENT",Yes,Philippe Silberzahn,5-Stars,"January 17, 2023 9:15 AM",,,190,
Venturing to Innovate: Five Strategic Insights for the C-Suite | Bain & Company,Innovation,En Cours,Bain,,"January 16, 2023 1:51 PM",https://www.bain.com/insights/venturing-to-innovate-five-strategic-insights-for-the-c-suite/?utm_medium=social_advocacy&utm_source=LinkedIn-dysi&utm_content=99c128fa-722a-497a-8ed7-47dd090cd1d4&utm_term=10099,,190,
AI Kezako & Definition,,,McKinsey,,"January 12, 2023 12:09 PM",,,194,
The future of mobility is now: Five themes to watch at CES 2023 - The Official Microsoft Blog,,,,,"January 10, 2023 1:52 PM",https://blogs.microsoft.com/blog/2023/01/04/the-future-of-mobility-is-now-five-themes-to-watch-at-ces-2023/,,196,
"Philippe Silberzahn, emlyon Business School - 3 modèles de décisions face à l'incertitude : Sloan, Kennedy, Bezos - Fenêtres ouvertes sur la gestion - xerficanal.com",,,,,"January 9, 2023 9:57 AM",https://www.xerficanal.com/iqsog/emission/Philippe-Silberzahn-3-modeles-de-decisions-face-a-l-incertitude-Sloan-Kennedy-Bezos_3751175.html,,198,
"E-bike subsidies, consolidation and IPOs: Our 2023 micromobility predictions | TechCrunch",MOBILITY,Yes,,4-Stars,"January 4, 2023 5:08 PM",https://techcrunch.com/2022/12/29/e-bike-subsidies-consolidation-and-ipos-our-2023-micromobility-predictions/,,202,
Minimobility: The next big thing in urban mobility?,"Innovation, MOBILITY",Yes,McKinsey,4-Stars,"January 4, 2023 4:40 PM",https://www.mckinsey.com/features/mckinsey-center-for-future-mobility/mckinsey-on-urban-mobility/minimobility-the-next-big-thing-in-urban-mobility,,202,
"New Normal — Charlie Felgate, Vision Leader - Regenerative",Sustainability,Yes,,5-Stars,"January 4, 2023 2:27 PM",https://www.newnormal.paris/article/why-we-should-all-become-personally-regenerative-charlie-felgate-vision-leader,,202,
Is ChatGPT Really a “Code Red” for Google Search?,DIGITAL,Yes,Gary Marcus,4-Stars,"January 1, 2023 11:12 AM",https://garymarcus.substack.com/p/is-chatgpt-really-a-code-red-for,,206,
"Sept leçons de l’histoire de l’innovation pour mieux comprendre le potentiel de ChatGPT, l’outil d’intelligence artificielle controversé | Philippe Silberzahn","DIGITAL, Innovation",Yes,Philippe Silberzahn,5-Stars,"January 1, 2023 10:46 AM",https://philippesilberzahn.com/2022/12/19/sept-lecons-de-l-histoire-de-l-innovation-pour-mieux-comprendre-le-potentiel-de-chatgpt-l-outil-d-intelligence-artificielle-controverse/,,206,
Expérience Client : 5 prédictions à suivre de près pour 2023 | Comarketing-News,,,,,"December 31, 2022 9:23 AM",https://comarketing-news.fr/experience-client-5-predictions-a-suivre-de-pres-pour-2023/,,207,
C'est la fin de la programmation telle que nous la connaissons,,,,,"December 30, 2022 9:42 PM",https://www.zdnet.fr/actualites/c-est-la-fin-de-la-programmation-telle-que-nous-la-connaissons-39951812.htm,,207,
"La créativité et la curiosité, piliers de l'innovation - Management",MANAGEMENT,Yes,,4-Stars,"December 30, 2022 8:57 AM",https://business.lesechos.fr/entrepreneurs/management/0702862722388-la-creativite-et-la-curiosite-piliers-de-l-innovation-350416.php,,208,
"Henry Mintzberg : des managers, pas des MBA – #hypertextual",MANAGEMENT,Yes,,5-Stars,"December 29, 2022 6:17 PM",https://thehypertextual.com/2012/08/20/henry-mintzberg-des-managers-pas-des-mba/,,208,
Trois croyances qui empêchent les entreprises d'affronter une crise - Polytechnique Insights,,,,,"December 28, 2022 6:45 PM",https://www.polytechnique-insights.com/tribunes/economie/trois-croyances-qui-empechent-les-entreprises-daffronter-une-crise/,,209,
Charting Opportunities in the Digital Economy Growth | BCG,,,,,"December 26, 2022 3:57 PM",https://www.bcg.com/publications/2022/charting-opportunities-in-the-digital-economy-growth,,211,
The industrial metaverse: A game-changer for operational technology | MIT Technology Review,"DIGITAL, Innovation",Yes,,4-Stars,"December 26, 2022 1:18 PM",https://www.technologyreview.com/2022/12/05/1063828/the-industrial-metaverse-a-game-changer-for-operational-technology/,,211,
The Next Normal – Could this be a glimpse into life in the 2030s? | The Next Normal | McKinsey & Company,,,,,"December 25, 2022 5:03 PM",https://www.mckinsey.com/featured-insights/the-next-normal/2030s,,212,
How Ford modeled EV battery materials with qubits | Popular Science,,,,,"December 25, 2022 10:52 AM",https://www.popsci.com/technology/ford-quantum-ev-battery/,,213,
"A deep dive into Grab’s approach to app design
",,,,,"December 23, 2022 3:04 PM",https://flip.it/sfnDWA,,214,
"Web3, the Metaverse, and the Lack of Useful Innovation - American Affairs Journal",,En Cours,,,"December 22, 2022 10:24 PM",https://americanaffairsjournal.org/2022/11/web3-the-metaverse-and-the-lack-of-useful-innovation/#.Y6S1bYMGAH8.linkedin,,215,
Prerequisites for Corporate Venture Building | Project A Insights,,,,,"December 21, 2022 6:39 PM",https://insights.project-a.com/corporate-venture-building-6-prerequisites-for-success-6a84fdbd9b8f,,216,
Electric Vehicles Are Poised to Create a $100B+ Opportunity in India by 2030 | Bain & Company,,,,,"December 19, 2022 11:32 AM",https://www.bain.com/insights/electric-vehicles-are-poised-to-create-a-$100-billion-opportunity-in-india-by-2030/,,219,
400+ startup accelerators in Europe: listed,,,,,"December 19, 2022 9:54 AM",https://sifted.eu/articles/400-startup-accelerators-in-europe-listed/,,219,
The Butterfly Diagram: Visualising the Circular Economy,,,,,"December 16, 2022 1:18 PM",https://ellenmacarthurfoundation.org/circular-economy-diagram,,221,
Mobility | Society: the mobility conference we need to have. — StudioPhro*,,,,,"December 15, 2022 10:59 AM",https://www.studiophro.com/blog/2022/6/27/mobility-society-the-mobility-conference-we-need-to-have,,223,
"Entrepreneurs, Is a Venture Studio Right for You?",,,,,"December 14, 2022 5:12 PM",https://hbr.org/2022/12/entrepreneurs-is-a-venture-studio-right-for-you,,223,
"Make Room for Minicars, the Electric Vehicles Cities Need - Bloomberg",,,,,"December 14, 2022 5:07 PM",https://www.bloomberg.com/news/features/2022-12-13/make-room-for-minicars-the-electric-vehicles-cities-need,,223,
AWS re:Invent 2022 - Automotive reinvention (AUT101-L) - YouTube,,,,,"December 5, 2022 5:47 PM",https://www.youtube.com/watch?v=9Tse4B-fnbI,,232,
Managing in an Age of Modularity,,,,,"November 29, 2022 11:34 AM",https://hbr.org/1997/09/managing-in-an-age-of-modularity,,238,
Effectively shifting gears between the different phases of the Innovation Pipeline - InnovationManagement,,,,,"November 28, 2022 1:42 PM",https://innovationmanagement.se/2018/08/21/effectively-shifting-gears-between-the-different-phases-of-the-innovation-pipeline/?utm_campaign=Tools%20Download%20Workflow&utm_content=77477722&utm_medium=social&utm_source=twitter,,239,
Steve Blank What Do I Do Now? The Startup Lifecycle,,,,,"November 28, 2022 10:59 AM",https://steveblank.com/2015/02/12/what-do-i-do-now/,,240,
La production automobile européenne pourrait ne jamais remonter la pente,,,,,"November 25, 2022 5:59 PM",https://www.automobile-magazine.fr/economie-politique/article/36736-la-production-automobile-europeenne-pourrait-ne-jamais-remonter-la-pente,,242,
How we REINVENTED THE AUTOMOBILE - the First Skateboard Platform,,No,,,"November 25, 2022 3:32 PM",http://www.adrianchernoff.com/project/skateboard-platform/,,242,
Skateboard Platform Impact- A 20 Year Journey - Adrian Chernoff,,No,,,"November 25, 2022 2:34 PM",http://www.adrianchernoff.com/project/electric-skateboard-platform/,,242,
"The other side of the table. For the last three years I have been… | by Lovina McMurchy | Nov, 2022 | Medium",,,,,"November 24, 2022 12:00 PM",https://medium.com/@lovina_49202/the-other-side-of-the-table-507b4eac250e,,243,
How to measure the value of innovation in your company?,,,,,"November 24, 2022 8:12 AM",https://www.acceptmission.com/blog/measuring-innovation/,,244,
How Your Company Can Encourage Innovation from All Employees,,,,,"November 23, 2022 7:00 PM",https://hbr.org/2022/09/how-your-company-can-encourage-innovation-from-all-employees?ab=hero-subleft-1,,244,
Steve Blank: Reinventing entrepreneurship | David Lancefield,,,,,"November 18, 2022 7:59 PM",https://davidlancefield.com/podcast/steve-blank-reinventing-entrepreneurship/,,249,
Du droit à l’erreur au devoir de tester - HBR,,,,,"November 16, 2022 4:08 PM",https://www.hbrfrance.fr/chroniques-experts/2021/10/40165-du-droit-a-lerreur-au-devoir-de-tester/,,251,
# [Act Like a Scientist],"HIGHLIGHTS, Innovation",,,,"November 16, 2022 12:13 PM",https://hbr.org/2022/05/act-like-a-scientist,,251,
"» Innovation : soyez « l’oiseau », pas le « dinosaure »",,,,,"November 16, 2022 12:01 PM",https://www.instapaper.com/read/1502527267,,251,
Levers for Corporate Entrepreneurship (Rainmaking),,,,,"November 16, 2022 10:35 AM",https://rainmaking.io/wp-content/uploads/2020/05/5-Levers-of-Corporate-Entrepreneurship-Rainmaking-Transport.pdf,,252,
Business building in 2022: Growth in volatile times | McKinsey,,,,,"November 16, 2022 10:07 AM",https://www.mckinsey.com/Capabilities/McKinsey-Digital/Our-Insights/New-business-building-in-2022-Driving-growth-in-volatile-times,,252,
Five Reasons Your Boss Was Right To Shut Down Your Innovation Lab,,,,,"November 15, 2022 3:48 PM",https://www.forbes.com/sites/tendayiviki/2016/09/04/five-reasons-your-boss-was-right-to-close-your-innovation-lab/amp/,,252,
Innovation - Strategyzer PlayBook,Innovation,Yes,Osterwalder,4-Stars,"November 15, 2022 11:36 AM",,,252,
Foxconn electric vehicle alliance plans boxy three-seater | Reuters,,,,,"November 9, 2022 9:13 AM",https://www.reuters.com/business/autos-transportation/foxconn-electric-vehicle-alliance-plans-boxy-three-seater-2022-11-08/,,259,
Episode 2 – Dans les coulisses du capital-risque : comment les fonds choisissent leurs investissements ?,,,,,"November 6, 2022 8:32 AM",https://www.maddyness.com/2022/11/03/coulisses-capital-risque/,,262,
Innovation in ASIA PlayBook,Innovation,No,,5-Stars,"November 3, 2022 12:17 PM",,,264,
Innovation Isn’t an Idea Problem,Innovation,Yes,,5-Stars,"November 3, 2022 11:56 AM",https://hbr.org/2013/07/innovation-isnt-an-idea-proble,,264,
L’héritage de Clayton Christensen - HBR,Innovation,No,Clayton Christensen,,"November 3, 2022 8:48 AM",https://www.hbrfrance.fr/magazine/2020/03/29401-lheritage-de-clayton-christensen/,,265,
Street Legal Carts | GEM - Electric Vehicles,Innovation,Yes,,5-Stars,"November 2, 2022 4:54 PM",https://www.gemcar.com/street-legal-carts/,Lien workshop Micromobility,265,
Tesla’s Not as Disruptive as You Might Think,"Innovation, MOBILITY",Yes,,5-Stars,"November 2, 2022 4:25 PM",https://hbr.org/2015/05/teslas-not-as-disruptive-as-you-might-think,Lien workshop Micromobility,265,
Why car companies should fear the golf cart,"Innovation, MOBILITY",Yes,,5-Stars,"November 2, 2022 4:20 PM",https://www.fastcompany.com/90804313/why-car-companies-should-fear-the-golf-cart,Lien workshop Micromobility,265,
La Fukang ES600 de Dongfeng-Stellantis est désormais compatible avec l'échange de batterie Evogo,"EV ARTICLE, MOBILITY",Yes,,3-Stars,"November 2, 2022 7:30 AM",https://www.automobile-propre.com/breves/la-fukang-es600-de-dongfeng-stellantis-est-desormais-compatible-avec-lechange-de-batterie-evogo/,,266,
Hydrogène bas-carbone : quels usages pertinents à moyen terme dans un monde décarboné ? | Carbone 4,,,Carbone4,,"October 30, 2022 8:34 AM",https://www.carbone4.com/publication-hydrogene-bas-carbone,,269,
Partners – Moove Lab – L’accélérateur des startups de la mobilité de Station F,Innovation,No,,,"October 28, 2022 10:14 AM",https://moove-lab.com/en/partners/,A prendre en compte pour échange Mobilians,271,
